"corpus","sequence_length","n_sequences","ngram","phoneme","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11","pos12"
"CMU",6,27205,"phoneme","ER","type",49,884,398,793,1698,1850,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","EY","type",74,612,408,374,464,237,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","IH","type",448,2916,884,1410,3650,1,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","IY","type",94,1075,516,1211,1044,2224,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","OW","type",252,1077,403,580,405,1156,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","OY","type",2,86,25,23,71,24,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","UH","type",1,271,49,66,160,1,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","UW","type",11,609,413,339,253,115,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","AX","type",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","AXR","type",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","IX","type",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","UX","type",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","B","type",2250,136,807,938,230,40,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","CH","type",278,10,223,263,123,51,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","D","type",1466,168,1142,1295,587,1916,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","DH","type",3,2,35,32,10,2,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","F","type",1236,69,554,502,134,204,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","G","type",1150,85,660,445,163,233,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","HH","type",1545,16,167,294,55,4,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","JH","type",448,23,182,244,95,170,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","K","type",2694,446,1731,1074,963,1119,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","L","type",1185,1334,2579,1551,2339,1656,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","M","type",2028,354,1277,1477,369,497,NA,NA,NA,NA,NA,NA
